	filename	event_label	onset	offset
58	9470.wav	Ambulance	5.360205	5.395356
59	9470.wav	BoatHorn	5.4210725	10.0
60	4657.wav	Ambulance	0.0	10.0
61	4657.wav	Yawn	3.2887459	3.9875913
62	4657.wav	Rain	6.1392984	9.2678585
63	4657.wav	TruckHorn	7.194361	9.1823
64	4132.wav	CarHorn	3.2267535	3.6370075
65	4132.wav	Scream	5.389453	7.312111
66	4132.wav	Speech	5.853272	10.0
67	5199.wav	Speech	3.1975524	4.8565907
68	5199.wav	Door	3.5728512	3.9703941
69	5199.wav	Ambulance	6.0976577	8.075339
70	5199.wav	TruckHorn	7.6938095	9.960523
71	5199.wav	Vibrating	8.629654	10.0
72	488.wav	Yawn	1.3845482	3.7309191
73	488.wav	Ambulance	2.006741	10.0
74	488.wav	Sneeze	4.178577	4.732601
75	488.wav	Dog	5.545761	5.74349
76	3012.wav	Music	0.5874025	10.0
77	3012.wav	Ambulance	3.2728121	10.0
78	3012.wav	Yawn	4.9574447	8.325156
79	3012.wav	Speech	6.007662	9.245836
80	4563.wav	Dog	4.1639876	4.664172
81	4563.wav	Vibrating	5.0266614	7.152835
82	4563.wav	Music	6.192194	8.445129
83	4563.wav	TrainHorn	7.050236	9.281906
84	6986.wav	Cat	1.1705483	1.859688
85	6986.wav	Cat	2.3662314	2.8845584
86	6986.wav	BoatHorn	7.0335326	10.0
87	8039.wav	Airplane	2.2987814	10.0
88	8039.wav	TrainHorn	4.6437535	7.0417986
89	8039.wav	Ambulance	5.4922023	9.260076
90	8039.wav	Truck	7.052726	10.0
91	1156.wav	Notifications	1.5901023	2.1832585
92	1156.wav	CarHorn	5.748178	10.0
93	1156.wav	Cry	6.4448247	10.0
94	1156.wav	Yawn	6.87168	8.357704
95	9995.wav	Cry	2.581341	10.0
96	9995.wav	TrainHorn	2.6920822	5.15085
97	9995.wav	Dog	6.3678885	10.0
98	9995.wav	Cough	7.152913	9.623153
99	9995.wav	Drift	8.511441	8.950059
100	1099.wav	Notifications	3.3837025	4.1339903
101	1099.wav	Firefighters	3.850706	7.9506083
102	1099.wav	Dog	4.6125083	4.84117
103	1099.wav	RingTone	6.4616947	8.4092655
104	1099.wav	Police	7.595288	10.0
105	12543.wav	TrainHorn	1.7755607	3.5706596
106	12543.wav	Police	1.9509231	5.3066034
107	12543.wav	BoatHorn	2.8520734	10.0
108	12543.wav	Dog	4.533845	4.9710207
109	13302.wav	Ignition	0.7612468	10.0
110	13302.wav	Vibrating	2.1951902	3.5497377
111	13302.wav	Cat	2.5622208	3.3699224
112	5909.wav	Cry	2.9026053	7.005288
113	5909.wav	Ignition	3.0239825	4.9237456
114	5909.wav	Cough	3.2716343	6.049961
115	5909.wav	Sneeze	6.191319	6.736143
116	5909.wav	Crash	7.220063	10.0
117	244.wav	Yawn	0.5559767	3.3762167
118	244.wav	Dog	3.566575	4.598463
119	244.wav	Cry	4.719192	5.91144
120	10798.wav	Cat	2.5553188	3.3814292
121	10798.wav	Yawn	4.711871	5.9509997
122	10798.wav	Yawn	8.665496	10.0
123	9864.wav	Cry	1.7929132	3.0759337
124	9864.wav	Cry	3.6970253	10.0
125	9864.wav	Yawn	8.624258	9.491243
126	1649.wav	Yawn	0.1802499	1.0706934
127	1649.wav	Dog	8.878553	9.240701
128	3110.wav	TrainHorn	0.6543511	4.995719
129	3110.wav	Vibrating	1.127485	2.70672
130	3110.wav	Train	1.1726981	10.0
131	3110.wav	Crash	9.4565325	10.0
132	10499.wav	Notifications	3.4945145	9.9859
133	10499.wav	Truck	5.890223	7.358497
134	10499.wav	Yawn	7.2227926	9.341975
135	7944.wav	Yawn	4.8272157	6.0808973
136	7944.wav	TrainHorn	6.180277	8.157337
137	7944.wav	CarHorn	8.952105	9.190876
138	7944.wav	Sneeze	9.156604	9.540195
139	12067.wav	Yawn	0.66883916	3.494686
140	12067.wav	BoatHorn	3.5868292	10.0
141	13090.wav	Police	4.6090074	7.554526
142	13090.wav	Yawn	4.8606977	6.3870873
143	13090.wav	Speech	5.526847	6.114096
144	13090.wav	Drift	8.71618	9.074949
145	14372.wav	Airplane	0.894422	10.0
146	14372.wav	Notifications	3.5582063	4.364233
147	6229.wav	Vibrating	1.9868445	4.144776
148	6229.wav	TruckHorn	2.6258655	5.030638
149	6229.wav	CarHorn	4.2416463	4.83285
150	6229.wav	Yawn	4.9285645	7.149371
151	11681.wav	Cry	3.5532706	10.0
152	11681.wav	Laughter	7.0491357	10.0
153	2990.wav	Truck	0.37107822	10.0
154	2990.wav	Train	0.86487764	4.371841
155	2990.wav	Ambulance	4.391246	10.0
156	2990.wav	Cough	7.4526196	8.846096
157	1950.wav	Police	2.3954685	10.0
158	1950.wav	Yawn	2.9113774	3.7942226
159	1950.wav	Sneeze	6.868281	7.6522646
160	3227.wav	Sneeze	4.127821	4.86844
161	3227.wav	Dog	7.9521174	10.0
162	3227.wav	Cough	8.94638	9.3153105
163	10877.wav	Speech	2.1121664	9.551237
164	10877.wav	TruckHorn	4.6579266	6.4914804
165	10877.wav	Notifications	6.352294	6.909564
166	1223.wav	Yawn	1.0501171	2.1424716
167	1223.wav	Firefighters	1.7178187	5.4005685
168	1223.wav	Crash	2.4898002	5.280449
169	1223.wav	Cough	3.744754	4.305102
170	5999.wav	Train	1.4559655	6.5494633
171	5999.wav	Yawn	2.6631331	3.876083
172	2230.wav	CarHorn	8.366713	10.0
173	2230.wav	Dog	8.727167	9.410163
174	6564.wav	Firefighters	1.2389795	10.0
175	6564.wav	Crash	1.7245256	2.3366652
176	6564.wav	Yawn	4.135912	5.2708006
177	6564.wav	Sneeze	5.1776843	5.6941123
178	6564.wav	Cough	5.481276	8.719478
179	7255.wav	Hail	2.5288415	5.810576
180	7255.wav	Firefighters	3.9648948	10.0
181	7255.wav	Notifications	7.290423	10.0
182	7255.wav	Vibrating	8.873188	10.0
183	2828.wav	TrainHorn	1.7629457	5.0889344
184	2828.wav	Crash	2.0269537	4.9942584
185	2828.wav	Cry	2.8694267	10.0
186	2828.wav	Cough	8.965212	9.285091
187	3895.wav	Sneeze	1.1684257	1.7454003
188	3895.wav	Yawn	1.5457835	2.4990687
189	3895.wav	Dog	4.0274887	4.4540176
190	6711.wav	Motorcyle	0.6187332	3.4827228
191	6711.wav	TrainHorn	8.2046385	10.0
192	4894.wav	Ambulance	2.648736	10.0
193	4894.wav	Music	6.319694	9.017712
194	5279.wav	Vibrating	0.07802684	1.333366
195	5279.wav	TrainHorn	3.106971	4.580942
196	5279.wav	Cry	4.6247606	7.880836
197	5279.wav	Sing	5.530453	9.22163
198	7441.wav	BoatHorn	4.7119465	8.137432
199	7441.wav	Motorcyle	5.4103465	9.417724
200	7335.wav	Yawn	0.9529817	4.1205363
201	7335.wav	Firefighters	1.4084042	10.0
202	7335.wav	Door	7.8644423	8.250062
203	14484.wav	Sneeze	2.1430779	2.5120702
204	14484.wav	CarHorn	3.5672724	7.8205037
205	14484.wav	Helicopter	7.0093765	9.276184
206	14484.wav	Yawn	7.5282226	10.0
207	14484.wav	Sneeze	8.0432625	8.791954
208	7502.wav	Notifications	3.063581	10.0
209	7502.wav	TruckHorn	4.2341785	6.330449
210	7502.wav	Sneeze	5.674422	6.22727
211	7502.wav	RingTone	5.7485776	10.0
212	7502.wav	Sneeze	8.992397	10.0
213	6655.wav	Ambulance	0.61752397	10.0
214	6655.wav	Cry	4.934139	6.323786
215	6655.wav	Ambulance	6.1613045	10.0
216	6655.wav	Music	9.4825115	9.495444
217	14980.wav	Police	3.7723339	5.8840127
218	14980.wav	MicrophoneNoise	7.2030845	9.375502
219	6195.wav	Music	1.0789154	10.0
220	6195.wav	Speech	1.2067683	1.7766725
221	6195.wav	Helicopter	5.336202	7.073352
222	6195.wav	BoatHorn	5.6438785	7.2008395
223	1451.wav	Cry	4.4546146	10.0
224	1451.wav	Ambulance	4.6522703	10.0
225	1451.wav	CarHorn	5.661422	10.0
226	4454.wav	BoatHorn	1.2001822	4.466563
227	4454.wav	Drink	4.1702504	4.7206697
228	4454.wav	TruckHorn	7.434553	9.474767
229	4454.wav	TruckHorn	8.34803	10.0
230	4454.wav	Yawn	8.997629	9.9220495
231	7168.wav	Police	1.8344421	9.412204
232	7168.wav	Yawn	3.4403577	5.608002
233	7168.wav	Drink	6.453925	7.15933
234	7168.wav	Dog	8.543636	8.869023
235	1745.wav	Drift	2.7529538	3.195532
236	1745.wav	Firefighters	4.0752196	10.0
237	3800.wav	MicrophoneNoise	2.9222364	7.5055757
238	3800.wav	Dog	4.599709	5.0724983
239	6806.wav	MicrophoneNoise	2.2155695	10.0
240	6806.wav	Police	7.0490365	8.512831
241	6806.wav	Sneeze	9.108852	9.358627
242	6389.wav	Rain	0.27167523	7.277757
243	6389.wav	Yawn	1.7954593	4.4203143
244	6389.wav	Vibrating	8.242065	9.793291
245	6389.wav	Sneeze	8.316086	8.658897
246	12557.wav	MicrophoneNoise	0.29092285	2.8299193
247	12557.wav	CarHorn	0.62047684	0.9037457
248	12557.wav	RingTone	1.3131605	7.080959
249	12557.wav	Speech	1.7659398	10.0
250	6555.wav	Crash	0.6139253	2.2669134
251	6555.wav	Hail	1.5057416	4.1271176
252	6555.wav	Cry	2.2232459	10.0
253	6555.wav	TruckHorn	4.11825	6.5040956
254	10035.wav	Firefighters	3.6440284	6.5047336
255	10035.wav	RingTone	4.688069	8.132118
256	10035.wav	Yawn	4.7580724	5.6586366
257	10035.wav	Cat	9.391133	10.0
258	11983.wav	Cry	2.2940507	3.3801203
259	11983.wav	Cry	4.5119667	9.663173
260	11983.wav	Ambulance	6.044431	10.0
261	14476.wav	RingTone	4.071285	5.6688957
262	14476.wav	Thunder	4.0881104	10.0
263	14476.wav	Sing	8.816803	10.0
264	3261.wav	Cry	2.8331878	10.0
265	3261.wav	Wiper	5.475676	6.353771
266	84.wav	Firefighters	1.9994086	10.0
267	84.wav	Sneeze	2.1786275	2.575238
268	84.wav	Vibrating	7.6749115	8.901157
269	14478.wav	BoatHorn	0.320391	5.1916647
270	14478.wav	Hit	6.5617886	7.0211015
271	14478.wav	Yawn	6.7761474	7.6515822
272	14478.wav	Door	7.2895765	7.7213483
273	13936.wav	Speech	2.6444502	8.785271
274	13936.wav	Truck	3.4401484	5.338862
275	13936.wav	Ambulance	3.5593994	10.0
276	11528.wav	Cry	4.552328	8.048767
277	11528.wav	CarHorn	5.42004	5.9818244
278	11528.wav	Vibrating	6.721337	9.075153
279	11528.wav	Crash	9.554341	10.0
280	6633.wav	Cry	0.88791806	5.3128166
281	6633.wav	Ambulance	2.5649323	4.5724826
282	6633.wav	CarHorn	6.5901823	10.0
283	6633.wav	Yawn	6.827426	8.897535
284	9195.wav	TrainHorn	0.027426397	5.2504206
285	9195.wav	Door	9.022384	10.0
286	5647.wav	Sneeze	4.5246124	4.838429
287	5647.wav	TruckHorn	5.591192	7.0704136
288	5647.wav	Vibrating	8.379531	9.047587
289	5647.wav	Drift	8.5914955	10.0
290	5647.wav	Cat	8.817168	9.613925
291	12717.wav	Cry	0.20734948	6.78973
292	12717.wav	Yawn	0.59719026	2.1789486
293	12717.wav	Cat	1.9311928	3.1209657
294	12717.wav	Notifications	2.667747	3.4353187
295	12717.wav	Notifications	7.559024	9.778966
296	12979.wav	Wiper	1.5203094	10.0
297	12979.wav	CarHorn	3.6983244	7.1446056
298	12979.wav	Vibrating	4.5863643	6.003312
299	12979.wav	Cat	7.0499635	10.0
300	12979.wav	Ambulance	7.2004204	10.0
301	11340.wav	CarHorn	2.2279222	2.902617
302	11340.wav	Cry	2.5789824	10.0
303	11340.wav	MicrophoneNoise	4.38095	6.3696976
304	11340.wav	CarHorn	4.6302032	4.8712893
305	10923.wav	Cat	1.8949523	2.7183843
306	10923.wav	Cough	5.0204997	9.965973
307	10923.wav	Crash	6.9825835	10.0
308	2133.wav	Cough	0.9376266	1.6354432
309	2133.wav	Dog	4.9471354	6.3273916
310	2133.wav	Cough	5.168106	5.8046703
311	13219.wav	Cough	1.1579033	1.6955731
312	13219.wav	Cry	3.5688338	10.0
313	13219.wav	Police	4.0436873	10.0
314	13219.wav	CarHorn	8.00054	10.0
315	9728.wav	Vibrating	0.2710054	2.2198153
316	9728.wav	Speech	1.8355317	2.1887577
317	9728.wav	Motorcyle	3.2246397	8.82156
318	9728.wav	Hail	3.3144073	8.22856
319	9728.wav	Sneeze	6.6581016	6.9523306
320	12095.wav	Dog	2.63081	2.9158723
321	12095.wav	Thunder	4.2773995	10.0
322	12095.wav	Vibrating	5.577782	6.376206
323	12095.wav	Dog	6.2789283	6.5802026
324	10087.wav	Train	2.5748634	5.4435496
325	10087.wav	Police	5.344407	7.6363015
326	10087.wav	Hit	6.9672446	7.5139356
327	10087.wav	Police	7.095036	8.882122
328	8116.wav	TruckHorn	2.483789	4.867554
329	8116.wav	Dog	4.168343	4.7040815
330	13053.wav	Cry	1.3477668	3.1677444
331	13053.wav	Wiper	2.1649473	10.0
332	13053.wav	Laughter	4.7417483	7.179923
333	10748.wav	CarHorn	2.1235058	4.1649647
334	10748.wav	TruckHorn	3.2964973	4.9144936
335	10748.wav	CarHorn	6.673961	10.0
336	8199.wav	Yawn	1.4706583	3.1244762
337	8199.wav	Window	5.211586	9.192173
338	8199.wav	CarHorn	9.028277	9.081873
339	8802.wav	Music	1.6710846	10.0
340	8802.wav	Cat	3.4549973	4.2499743
341	8802.wav	Scream	8.093813	10.0
342	5184.wav	TrainHorn	2.6578329	5.292772
343	5184.wav	Firefighters	4.887776	8.7316265
344	5184.wav	Dog	9.149507	9.417155
345	1504.wav	CarHorn	5.6765695	6.5451875
346	1504.wav	CarHorn	8.918582	9.571816
347	1504.wav	Drink	9.239152	9.544533
348	11134.wav	BoatHorn	0.49581918	10.0
349	11134.wav	Cry	2.562878	10.0
350	11134.wav	Speech	4.005424	4.564861
351	11134.wav	Cough	6.2710123	10.0
352	11134.wav	Crash	9.432427	10.0
353	5075.wav	Wiper	0.8764822	7.3407345
354	5075.wav	RingTone	1.0050514	10.0
355	5075.wav	RingTone	1.8862036	4.44942
356	5075.wav	TruckHorn	6.888596	9.636988
357	5075.wav	Vibrating	8.739991	9.426014
358	3612.wav	CarHorn	1.5645812	4.7953796
359	3612.wav	Train	5.2248297	9.044082
360	3612.wav	Police	6.357461	9.270005
361	3612.wav	Vibrating	8.491194	9.038701
362	11259.wav	Ambulance	1.1404105	8.747905
363	11259.wav	Firefighters	2.6272726	10.0
364	11259.wav	Cough	7.576845	9.256236
365	10911.wav	Sneeze	3.0974526	4.369989
366	10911.wav	BoatHorn	3.316702	10.0
367	10911.wav	CarHorn	8.048656	8.740965
368	573.wav	RingTone	1.8009413	8.247217
369	573.wav	Rain	4.5782113	9.083996
370	573.wav	Sneeze	8.466114	9.486736
371	14945.wav	TruckHorn	0.57166517	3.5586395
372	14945.wav	TruckHorn	4.866506	6.829524
373	14945.wav	Cough	6.6013355	6.7469273
374	14154.wav	Speech	0.41613442	1.4797081
375	14154.wav	Helicopter	0.81548166	7.79288
376	14154.wav	TrainHorn	1.1740727	6.310863
377	14154.wav	TruckHorn	3.2892873	5.3188863
378	1570.wav	Speech	0.25143605	0.93490976
379	1570.wav	Rain	2.431692	8.470954
380	1570.wav	Rain	3.0256677	7.0144205
381	14820.wav	TruckHorn	1.6432732	3.9375355
382	14820.wav	Cat	2.9129767	4.218765
383	14820.wav	Police	3.0499592	10.0
384	14820.wav	Speech	4.740226	7.112979
385	14820.wav	Sneeze	8.195354	8.779438
386	13015.wav	Cry	2.06939	4.615598
387	13015.wav	Ignition	5.127609	7.290976
388	10533.wav	Truck	2.2608218	10.0
389	10533.wav	Truck	2.3670838	9.937231
390	10533.wav	BoatHorn	2.824151	3.9097102
391	10533.wav	Firefighters	8.586385	10.0
392	12284.wav	Laughter	3.8095937	5.7654705
393	12284.wav	CarHorn	6.653957	7.028258
394	12284.wav	RingTone	7.6376753	10.0
395	12284.wav	Crash	7.8759217	8.25036
396	12357.wav	ManipulatingObjects	1.2101755	6.2474136
397	12357.wav	Laughter	1.4980385	3.2336485
398	12357.wav	TruckHorn	2.2635393	3.3062093
399	12357.wav	Firefighters	6.4553537	10.0
400	12357.wav	TrainHorn	8.406699	10.0
401	4000.wav	TruckHorn	1.5585943	3.2694771
402	4000.wav	Dog	3.5018609	4.6209416
403	4000.wav	Train	4.8119936	10.0
404	4000.wav	Yawn	6.849167	9.693076
405	1568.wav	Hail	1.2486115	10.0
406	1568.wav	Dog	5.991287	6.2571983
407	1568.wav	Firefighters	6.35414	10.0
408	1568.wav	Sneeze	9.389405	9.837045
409	6435.wav	CarHorn	1.3593804	2.0028894
410	6435.wav	Car	1.537501	4.105296
411	6435.wav	Firefighters	2.1406264	6.9089766
412	6435.wav	Sneeze	4.9752965	5.5902414
413	9621.wav	Laughter	2.1880856	3.950812
414	9621.wav	TruckHorn	3.6392193	6.2404923
415	9621.wav	Firefighters	6.836655	8.923053
416	9621.wav	Scream	7.0572023	9.443487
417	12597.wav	RingTone	0.018440865	7.8236756
418	12597.wav	Cry	0.6460246	10.0
419	12597.wav	Laughter	1.1137602	1.7393552
420	12597.wav	MicrophoneNoise	1.3238515	10.0
421	12597.wav	Yawn	6.8132005	10.0
422	12039.wav	TrainHorn	1.7832721	10.0
423	12039.wav	TrainHorn	2.876415	10.0
424	12039.wav	Police	3.2978072	10.0
425	12039.wav	Dog	7.165422	7.5529113
426	8510.wav	Sneeze	0.036584716	0.5390965
427	8510.wav	Sneeze	1.4758611	2.251207
428	12141.wav	Hit	0.05781686	1.1235281
429	12141.wav	RingTone	7.1154556	9.418811
430	4452.wav	Window	0.45127565	3.8101354
431	4452.wav	RingTone	3.7324834	6.0381866
432	4452.wav	Yawn	7.8683863	9.346147
433	4452.wav	TruckHorn	8.198871	10.0
434	4390.wav	TrainHorn	0.7953204	3.0143948
435	4390.wav	Train	3.5039952	7.192727
436	4390.wav	BoatHorn	3.8473117	10.0
437	4390.wav	Cat	7.1438365	8.949809
438	4390.wav	TruckHorn	7.5224447	9.362504
439	13481.wav	Sneeze	0.91693807	1.6995192
440	13481.wav	Cat	2.5401063	3.3534286
441	13481.wav	Drift	3.9037268	4.3635354
442	13481.wav	Dog	8.957355	9.216586
443	13481.wav	RingTone	9.093719	9.861502
444	2203.wav	Yawn	0.9641427	2.2043781
445	2203.wav	Cat	1.7807994	2.6923292
446	2203.wav	Yawn	2.7140126	4.518951
447	2203.wav	Cry	2.756476	10.0
448	5530.wav	Cry	0.14546268	7.1923375
449	5530.wav	Speech	0.5530615	5.082732
450	5530.wav	Ambulance	2.0764558	10.0
451	5530.wav	TruckHorn	7.1359935	9.206328
452	9788.wav	Firefighters	0.6976502	5.0050087
453	9788.wav	Hail	1.636056	5.7824874
454	9788.wav	Vibrating	3.46901	5.450925
455	9788.wav	TrainHorn	7.109954	10.0
456	10666.wav	BoatHorn	1.5100603	8.569955
457	10666.wav	Cough	4.211053	4.738152
458	10666.wav	Hit	7.685189	8.367129
459	11001.wav	Notifications	1.9739007	2.5062368
460	11001.wav	BoatHorn	7.3347044	9.361103
461	11001.wav	Dog	8.40726	8.682282
462	8950.wav	Dog	0.8068835	1.0553582
463	8950.wav	Cry	2.7850745	6.2442775
464	8950.wav	Drink	3.815454	4.2026134
465	6628.wav	Hit	4.2295637	4.819965
466	6628.wav	Notifications	5.580815	5.937809
467	6628.wav	Ambulance	6.462917	8.503125
468	6628.wav	TruckHorn	6.9987683	8.768489
469	13126.wav	Cry	1.1871017	8.744507
470	13126.wav	Cry	2.9511387	10.0
471	13126.wav	Firefighters	4.036663	8.290011
472	13126.wav	Cough	7.085514	10.0
473	13126.wav	TrainHorn	7.2269945	9.329048
474	5716.wav	Crash	2.6314075	3.1595552
475	5716.wav	WarningBeeps	3.6561317	10.0
476	5716.wav	Vibrating	7.3350773	8.045022
477	5716.wav	Vibrating	7.9924827	10.0
478	7637.wav	RingTone	2.53582	2.6851704
479	7637.wav	Firefighters	2.6393042	4.83668
480	7637.wav	Dog	3.0421062	3.2786665
481	7637.wav	Sneeze	4.8043566	5.8240995
482	14221.wav	TruckHorn	0.11504753	2.203949
483	14221.wav	Cough	3.4552405	10.0
484	14221.wav	Motorcyle	4.2086215	9.984104
485	14221.wav	Vibrating	8.067079	10.0
486	1088.wav	Thunder	3.2206109	9.020151
487	1088.wav	Cry	5.7614207	10.0
488	1088.wav	Yawn	6.5717	9.353619
489	5987.wav	Sneeze	1.1389215	1.5557464
490	5987.wav	CarHorn	3.91735	7.275612
491	5987.wav	Cry	4.0095263	10.0
492	14768.wav	BoatHorn	1.2002121	2.7686985
493	14768.wav	Scream	2.0203514	3.6033876
494	14768.wav	Scream	4.084558	6.450101
495	3027.wav	Cough	4.5327473	6.6602263
496	3027.wav	RingTone	6.119609	9.260053
497	3027.wav	Ambulance	6.4680934	9.336983
498	3027.wav	Music	6.732902	10.0
499	806.wav	Firefighters	0.6733283	10.0
500	806.wav	Yawn	3.023438	4.609705
501	806.wav	Wiper	4.475403	10.0
502	806.wav	Ignition	6.6274447	8.262595
503	13457.wav	Police	4.4803796	10.0
504	13457.wav	Dog	5.3824525	10.0
505	13457.wav	CarHorn	5.400354	6.1113987
506	4917.wav	Sing	1.8545499	3.5039923
507	4917.wav	Rain	2.7117786	4.849428
508	4917.wav	TrainHorn	5.358827	10.0
509	4917.wav	CarHorn	7.0983515	10.0
510	13351.wav	CarHorn	0.75290155	2.0658147
511	13351.wav	TruckHorn	2.0584526	4.3994217
512	13351.wav	Vibrating	5.6554623	6.2836814
513	13351.wav	Firefighters	7.1913233	10.0
514	13351.wav	Drift	7.963964	9.408523
515	40.wav	Yawn	3.910119	4.632695
516	40.wav	Cough	5.4433417	6.3151574
517	40.wav	Window	6.9687853	10.0
518	9109.wav	Hail	1.2898732	10.0
519	9109.wav	Dog	7.139458	7.565158
520	9109.wav	Dog	8.006693	8.299206
521	14308.wav	Dog	0.97505367	1.2466968
522	14308.wav	Hit	1.1899112	2.0414937
523	14308.wav	Firefighters	2.5016034	10.0
524	14308.wav	Speech	8.746857	9.767688
525	8528.wav	RingTone	2.6449041	10.0
526	8528.wav	Sneeze	6.9719095	7.360421
527	5345.wav	Cat	0.65149003	1.464233
528	5345.wav	Ambulance	0.93046224	10.0
529	5345.wav	Yawn	4.5872126	6.835208
530	5345.wav	Laughter	5.24944	6.505051
531	5345.wav	Notifications	7.4171715	8.082881
532	14976.wav	Cry	1.8578998	6.8292108
533	14976.wav	BoatHorn	4.1698685	9.740137
534	5810.wav	Yawn	1.434202	3.0758336
535	5810.wav	TrainHorn	4.0477304	10.0
536	3038.wav	Police	6.47397	9.615952
537	3038.wav	Drift	8.478026	9.877817
538	9495.wav	MicrophoneNoise	0.79250956	10.0
539	9495.wav	Ambulance	1.3990678	6.1409545
540	9495.wav	Firefighters	2.4553368	6.4479494
541	9495.wav	Notifications	7.4381905	9.647745
542	9495.wav	Yawn	8.564489	10.0
543	10884.wav	BoatHorn	4.08145	10.0
544	10884.wav	ManipulatingObjects	5.688353	10.0
545	13610.wav	Ambulance	0.8324905	9.98443
546	13610.wav	Speech	3.8288612	10.0
547	13610.wav	Vibrating	5.800198	8.162095
548	12260.wav	Police	0.0	10.0
549	12260.wav	Airplane	2.6417515	8.518883
550	12260.wav	TruckHorn	3.8573174	5.546126
551	12260.wav	BoatHorn	4.173809	10.0
552	7201.wav	Speech	1.5103464	2.0060258
553	7201.wav	Ambulance	1.7606927	10.0
554	7201.wav	Cry	3.7336051	7.736189
555	7201.wav	BoatHorn	4.5193663	8.372821
556	7201.wav	Notifications	5.9705696	6.256288
557	10155.wav	Vibrating	5.083266	7.202516
558	10155.wav	Door	8.027466	8.827522
559	540.wav	Cat	4.9471283	6.406294
560	540.wav	TruckHorn	6.305962	8.038881
561	540.wav	Cat	6.825935	7.8186436
562	540.wav	Cat	7.542089	8.319958
563	14712.wav	Sneeze	0.9865409	1.7689183
564	14712.wav	Truck	2.1100972	10.0
565	14712.wav	TruckHorn	6.981474	8.94098
566	1210.wav	ManipulatingObjects	0.81830126	10.0
567	1210.wav	TrainHorn	1.7821763	5.058448
568	1210.wav	Speech	8.101534	8.753065
569	6898.wav	Train	0.24712116	2.8279648
570	6898.wav	Ambulance	2.8344154	4.619203
571	6898.wav	Thunder	3.4130418	8.241405
572	6898.wav	Yawn	3.5225008	4.579827
573	6898.wav	Cat	9.450775	9.922652
574	6733.wav	RingTone	6.799519	10.0
575	6733.wav	TruckHorn	8.169619	10.0
576	6733.wav	Drift	8.532895	10.0
577	13852.wav	Yawn	2.5874608	3.7639785
578	13852.wav	Car	3.9289799	7.7849016
579	13852.wav	Police	9.030846	10.0
580	13852.wav	Cat	9.264644	10.0
581	6857.wav	Cat	5.6722775	10.0
582	6857.wav	Airplane	5.918322	10.0
583	6857.wav	Firefighters	6.088523	10.0
584	6857.wav	Sneeze	7.219006	7.8289824
585	13733.wav	Cry	0.22719081	5.802168
586	13733.wav	Airplane	6.203526	10.0
587	350.wav	Cry	4.465084	10.0
