old_filename,new_filename,event_label,onset,offset,output_path
960.wav,960_BoatHorn_12.wav,BoatHorn,2.6500144,4.625421,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/960_BoatHorn_12.wav
960.wav,960_WarningBeeps_13.wav,WarningBeeps,4.1938214,10.0,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/960_WarningBeeps_13.wav
960.wav,960_Dog_14.wav,Dog,5.841226,10.0,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/960_Dog_14.wav
960.wav,960_Cough_15.wav,Cough,6.056555,10.0,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/960_Cough_15.wav
960.wav,960_Notifications_16.wav,Notifications,7.340994,7.952263,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/960_Notifications_16.wav
12424.wav,12424_Notifications_18.wav,Notifications,3.7445679,7.1398563,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/12424_Notifications_18.wav
12424.wav,12424_BoatHorn_19.wav,BoatHorn,5.418616,10.0,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/12424_BoatHorn_19.wav
13122.wav,13122_Yawn_20.wav,Yawn,0.9225947,10.0,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/13122_Yawn_20.wav
13122.wav,13122_Ambulance_21.wav,Ambulance,2.7215884,4.014537,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/13122_Ambulance_21.wav
13122.wav,13122_Yawn_22.wav,Yawn,8.074834,8.9258175,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/13122_Yawn_22.wav
14573.wav,14573_Rain_23.wav,Rain,1.0310589,4.8139143,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/14573_Rain_23.wav
14573.wav,14573_Dog_24.wav,Dog,5.4905615,5.8342853,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/14573_Dog_24.wav
14573.wav,14573_Notifications_25.wav,Notifications,6.3001976,6.3699784,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/14573_Notifications_25.wav
13299.wav,13299_TrainHorn_26.wav,TrainHorn,3.0620694,10.0,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/13299_TrainHorn_26.wav
13299.wav,13299_BoatHorn_27.wav,BoatHorn,4.4250107,7.845372,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/13299_BoatHorn_27.wav
14651.wav,14651_Firefighters_29.wav,Firefighters,1.8011088,10.0,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/14651_Firefighters_29.wav
14651.wav,14651_TrainHorn_31.wav,TrainHorn,4.4430156,7.034067,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/14651_TrainHorn_31.wav
14651.wav,14651_Airplane_32.wav,Airplane,4.826682,7.6588883,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/14651_Airplane_32.wav
10511.wav,10511_CarHorn_35.wav,CarHorn,4.0879283,8.73172,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/10511_CarHorn_35.wav
10511.wav,10511_Ambulance_36.wav,Ambulance,5.248535,10.0,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/10511_Ambulance_36.wav
10511.wav,10511_ManipulatingObjects_37.wav,ManipulatingObjects,6.205107,10.0,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/10511_ManipulatingObjects_37.wav
8474.wav,8474_TrainHorn_38.wav,TrainHorn,2.1279256,10.0,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/8474_TrainHorn_38.wav
8474.wav,8474_Cough_40.wav,Cough,5.9085236,8.869487,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/8474_Cough_40.wav
8474.wav,8474_CarHorn_41.wav,CarHorn,7.225815,8.097196,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/8474_CarHorn_41.wav
3363.wav,3363_RingTone_42.wav,RingTone,0.393824,6.421646,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/3363_RingTone_42.wav
3363.wav,3363_CarHorn_43.wav,CarHorn,2.8254528,4.583108,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/3363_CarHorn_43.wav
3363.wav,3363_Window_44.wav,Window,5.443496,9.471322,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/3363_Window_44.wav
3363.wav,3363_BoatHorn_45.wav,BoatHorn,7.360072,10.0,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/3363_BoatHorn_45.wav
2136.wav,2136_Cat_47.wav,Cat,7.966729,8.589716,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/2136_Cat_47.wav
7371.wav,7371_Cat_48.wav,Cat,3.762065,4.0211496,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/7371_Cat_48.wav
7371.wav,7371_TruckHorn_49.wav,TruckHorn,4.1830297,6.300965,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/7371_TruckHorn_49.wav
7371.wav,7371_Dog_50.wav,Dog,4.2878027,4.78046,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/7371_Dog_50.wav
7112.wav,7112_Train_52.wav,Train,0.0,10.0,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/7112_Train_52.wav
7112.wav,7112_TrainHorn_53.wav,TrainHorn,3.7768571,10.0,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/7112_TrainHorn_53.wav
7112.wav,7112_Notifications_54.wav,Notifications,4.7247376,5.300417,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/7112_Notifications_54.wav
11570.wav,11570_WarningBeeps_55.wav,WarningBeeps,1.4608771,7.7923093,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/11570_WarningBeeps_55.wav
11570.wav,11570_TruckHorn_56.wav,TruckHorn,7.995633,10.0,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/11570_TruckHorn_56.wav
9470.wav,9470_Firefighters_57.wav,Firefighters,3.2753012,6.343586,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/9470_Firefighters_57.wav
9470.wav,9470_Ambulance_58.wav,Ambulance,5.360205,5.395356,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/9470_Ambulance_58.wav
9470.wav,9470_BoatHorn_59.wav,BoatHorn,5.4210725,10.0,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/9470_BoatHorn_59.wav
4657.wav,4657_Ambulance_60.wav,Ambulance,0.0,10.0,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/4657_Ambulance_60.wav
4657.wav,4657_Yawn_61.wav,Yawn,3.2887459,3.9875913,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/4657_Yawn_61.wav
4657.wav,4657_Rain_62.wav,Rain,6.1392984,9.2678585,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/4657_Rain_62.wav
4657.wav,4657_TruckHorn_63.wav,TruckHorn,7.194361,9.1823,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/4657_TruckHorn_63.wav
4132.wav,4132_CarHorn_64.wav,CarHorn,3.2267535,3.6370075,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/4132_CarHorn_64.wav
4132.wav,4132_Scream_65.wav,Scream,5.389453,7.312111,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/4132_Scream_65.wav
5199.wav,5199_Door_68.wav,Door,3.5728512,3.9703941,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/5199_Door_68.wav
5199.wav,5199_Ambulance_69.wav,Ambulance,6.0976577,8.075339,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/5199_Ambulance_69.wav
5199.wav,5199_TruckHorn_70.wav,TruckHorn,7.6938095,9.960523,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/5199_TruckHorn_70.wav
488.wav,488_Yawn_72.wav,Yawn,1.3845482,3.7309191,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/488_Yawn_72.wav
488.wav,488_Ambulance_73.wav,Ambulance,2.006741,10.0,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/488_Ambulance_73.wav
488.wav,488_Dog_75.wav,Dog,5.545761,5.74349,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/488_Dog_75.wav
3012.wav,3012_Ambulance_77.wav,Ambulance,3.2728121,10.0,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/3012_Ambulance_77.wav
3012.wav,3012_Yawn_78.wav,Yawn,4.9574447,8.325156,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/3012_Yawn_78.wav
4563.wav,4563_Dog_80.wav,Dog,4.1639876,4.664172,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/4563_Dog_80.wav
4563.wav,4563_TrainHorn_83.wav,TrainHorn,7.050236,9.281906,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/4563_TrainHorn_83.wav
6986.wav,6986_Cat_84.wav,Cat,1.1705483,1.859688,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/6986_Cat_84.wav
6986.wav,6986_Cat_85.wav,Cat,2.3662314,2.8845584,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/6986_Cat_85.wav
6986.wav,6986_BoatHorn_86.wav,BoatHorn,7.0335326,10.0,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/6986_BoatHorn_86.wav
8039.wav,8039_Airplane_87.wav,Airplane,2.2987814,10.0,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/8039_Airplane_87.wav
8039.wav,8039_TrainHorn_88.wav,TrainHorn,4.6437535,7.0417986,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/8039_TrainHorn_88.wav
8039.wav,8039_Ambulance_89.wav,Ambulance,5.4922023,9.260076,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/8039_Ambulance_89.wav
8039.wav,8039_Truck_90.wav,Truck,7.052726,10.0,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/8039_Truck_90.wav
1156.wav,1156_Notifications_91.wav,Notifications,1.5901023,2.1832585,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/1156_Notifications_91.wav
1156.wav,1156_CarHorn_92.wav,CarHorn,5.748178,10.0,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/1156_CarHorn_92.wav
1156.wav,1156_Cry_93.wav,Cry,6.4448247,10.0,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/1156_Cry_93.wav
1156.wav,1156_Yawn_94.wav,Yawn,6.87168,8.357704,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/1156_Yawn_94.wav
9995.wav,9995_Cry_95.wav,Cry,2.581341,10.0,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/9995_Cry_95.wav
9995.wav,9995_TrainHorn_96.wav,TrainHorn,2.6920822,5.15085,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/9995_TrainHorn_96.wav
9995.wav,9995_Dog_97.wav,Dog,6.3678885,10.0,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/9995_Dog_97.wav
9995.wav,9995_Cough_98.wav,Cough,7.152913,9.623153,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/9995_Cough_98.wav
9995.wav,9995_Drift_99.wav,Drift,8.511441,8.950059,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/9995_Drift_99.wav
1099.wav,1099_Notifications_100.wav,Notifications,3.3837025,4.1339903,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/1099_Notifications_100.wav
1099.wav,1099_Firefighters_101.wav,Firefighters,3.850706,7.9506083,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/1099_Firefighters_101.wav
1099.wav,1099_Dog_102.wav,Dog,4.6125083,4.84117,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/1099_Dog_102.wav
1099.wav,1099_RingTone_103.wav,RingTone,6.4616947,8.4092655,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/1099_RingTone_103.wav
1099.wav,1099_Police_104.wav,Police,7.595288,10.0,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/1099_Police_104.wav
12543.wav,12543_TrainHorn_105.wav,TrainHorn,1.7755607,3.5706596,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/12543_TrainHorn_105.wav
12543.wav,12543_Police_106.wav,Police,1.9509231,5.3066034,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/12543_Police_106.wav
12543.wav,12543_BoatHorn_107.wav,BoatHorn,2.8520734,10.0,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/12543_BoatHorn_107.wav
12543.wav,12543_Dog_108.wav,Dog,4.533845,4.9710207,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/12543_Dog_108.wav
13302.wav,13302_Ignition_109.wav,Ignition,0.7612468,10.0,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/13302_Ignition_109.wav
13302.wav,13302_Cat_111.wav,Cat,2.5622208,3.3699224,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/13302_Cat_111.wav
5909.wav,5909_Cry_112.wav,Cry,2.9026053,7.005288,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/5909_Cry_112.wav
5909.wav,5909_Ignition_113.wav,Ignition,3.0239825,4.9237456,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/5909_Ignition_113.wav
5909.wav,5909_Cough_114.wav,Cough,3.2716343,6.049961,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/5909_Cough_114.wav
5909.wav,5909_Crash_116.wav,Crash,7.220063,10.0,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/5909_Crash_116.wav
244.wav,244_Yawn_117.wav,Yawn,0.5559767,3.3762167,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/244_Yawn_117.wav
244.wav,244_Dog_118.wav,Dog,3.566575,4.598463,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/244_Dog_118.wav
244.wav,244_Cry_119.wav,Cry,4.719192,5.91144,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/244_Cry_119.wav
10798.wav,10798_Cat_120.wav,Cat,2.5553188,3.3814292,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/10798_Cat_120.wav
10798.wav,10798_Yawn_121.wav,Yawn,4.711871,5.9509997,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/10798_Yawn_121.wav
10798.wav,10798_Yawn_122.wav,Yawn,8.665496,10.0,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/10798_Yawn_122.wav
9864.wav,9864_Cry_123.wav,Cry,1.7929132,3.0759337,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/9864_Cry_123.wav
9864.wav,9864_Cry_124.wav,Cry,3.6970253,10.0,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/9864_Cry_124.wav
9864.wav,9864_Yawn_125.wav,Yawn,8.624258,9.491243,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/9864_Yawn_125.wav
1649.wav,1649_Yawn_126.wav,Yawn,0.1802499,1.0706934,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/1649_Yawn_126.wav
1649.wav,1649_Dog_127.wav,Dog,8.878553,9.240701,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/1649_Dog_127.wav
3110.wav,3110_TrainHorn_128.wav,TrainHorn,0.6543511,4.995719,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/3110_TrainHorn_128.wav
3110.wav,3110_Train_130.wav,Train,1.1726981,10.0,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/3110_Train_130.wav
3110.wav,3110_Crash_131.wav,Crash,9.4565325,10.0,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/3110_Crash_131.wav
10499.wav,10499_Notifications_132.wav,Notifications,3.4945145,9.9859,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/10499_Notifications_132.wav
10499.wav,10499_Truck_133.wav,Truck,5.890223,7.358497,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/10499_Truck_133.wav
10499.wav,10499_Yawn_134.wav,Yawn,7.2227926,9.341975,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/10499_Yawn_134.wav
7944.wav,7944_Yawn_135.wav,Yawn,4.8272157,6.0808973,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/7944_Yawn_135.wav
7944.wav,7944_TrainHorn_136.wav,TrainHorn,6.180277,8.157337,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/7944_TrainHorn_136.wav
7944.wav,7944_CarHorn_137.wav,CarHorn,8.952105,9.190876,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/7944_CarHorn_137.wav
12067.wav,12067_Yawn_139.wav,Yawn,0.66883916,3.494686,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/12067_Yawn_139.wav
12067.wav,12067_BoatHorn_140.wav,BoatHorn,3.5868292,10.0,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/12067_BoatHorn_140.wav
13090.wav,13090_Police_141.wav,Police,4.6090074,7.554526,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/13090_Police_141.wav
13090.wav,13090_Yawn_142.wav,Yawn,4.8606977,6.3870873,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/13090_Yawn_142.wav
13090.wav,13090_Drift_144.wav,Drift,8.71618,9.074949,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/13090_Drift_144.wav
14372.wav,14372_Airplane_145.wav,Airplane,0.894422,10.0,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/14372_Airplane_145.wav
14372.wav,14372_Notifications_146.wav,Notifications,3.5582063,4.364233,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/14372_Notifications_146.wav
6229.wav,6229_TruckHorn_148.wav,TruckHorn,2.6258655,5.030638,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/6229_TruckHorn_148.wav
6229.wav,6229_CarHorn_149.wav,CarHorn,4.2416463,4.83285,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/6229_CarHorn_149.wav
6229.wav,6229_Yawn_150.wav,Yawn,4.9285645,7.149371,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/6229_Yawn_150.wav
11681.wav,11681_Cry_151.wav,Cry,3.5532706,10.0,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/11681_Cry_151.wav
2990.wav,2990_Truck_153.wav,Truck,0.37107822,10.0,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/2990_Truck_153.wav
2990.wav,2990_Train_154.wav,Train,0.86487764,4.371841,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/2990_Train_154.wav
2990.wav,2990_Ambulance_155.wav,Ambulance,4.391246,10.0,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/2990_Ambulance_155.wav
2990.wav,2990_Cough_156.wav,Cough,7.4526196,8.846096,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/2990_Cough_156.wav
1950.wav,1950_Police_157.wav,Police,2.3954685,10.0,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/1950_Police_157.wav
1950.wav,1950_Yawn_158.wav,Yawn,2.9113774,3.7942226,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/1950_Yawn_158.wav
3227.wav,3227_Dog_161.wav,Dog,7.9521174,10.0,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/3227_Dog_161.wav
3227.wav,3227_Cough_162.wav,Cough,8.94638,9.3153105,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/3227_Cough_162.wav
10877.wav,10877_TruckHorn_164.wav,TruckHorn,4.6579266,6.4914804,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/10877_TruckHorn_164.wav
10877.wav,10877_Notifications_165.wav,Notifications,6.352294,6.909564,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/10877_Notifications_165.wav
1223.wav,1223_Yawn_166.wav,Yawn,1.0501171,2.1424716,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/1223_Yawn_166.wav
1223.wav,1223_Firefighters_167.wav,Firefighters,1.7178187,5.4005685,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/1223_Firefighters_167.wav
1223.wav,1223_Crash_168.wav,Crash,2.4898002,5.280449,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/1223_Crash_168.wav
1223.wav,1223_Cough_169.wav,Cough,3.744754,4.305102,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/1223_Cough_169.wav
5999.wav,5999_Train_170.wav,Train,1.4559655,6.5494633,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/5999_Train_170.wav
5999.wav,5999_Yawn_171.wav,Yawn,2.6631331,3.876083,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/5999_Yawn_171.wav
2230.wav,2230_CarHorn_172.wav,CarHorn,8.366713,10.0,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/2230_CarHorn_172.wav
2230.wav,2230_Dog_173.wav,Dog,8.727167,9.410163,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/2230_Dog_173.wav
6564.wav,6564_Firefighters_174.wav,Firefighters,1.2389795,10.0,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/6564_Firefighters_174.wav
6564.wav,6564_Crash_175.wav,Crash,1.7245256,2.3366652,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/6564_Crash_175.wav
6564.wav,6564_Yawn_176.wav,Yawn,4.135912,5.2708006,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/6564_Yawn_176.wav
6564.wav,6564_Cough_178.wav,Cough,5.481276,8.719478,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/6564_Cough_178.wav
7255.wav,7255_Hail_179.wav,Hail,2.5288415,5.810576,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/7255_Hail_179.wav
7255.wav,7255_Firefighters_180.wav,Firefighters,3.9648948,10.0,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/7255_Firefighters_180.wav
7255.wav,7255_Notifications_181.wav,Notifications,7.290423,10.0,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/7255_Notifications_181.wav
2828.wav,2828_TrainHorn_183.wav,TrainHorn,1.7629457,5.0889344,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/2828_TrainHorn_183.wav
2828.wav,2828_Crash_184.wav,Crash,2.0269537,4.9942584,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/2828_Crash_184.wav
2828.wav,2828_Cry_185.wav,Cry,2.8694267,10.0,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/2828_Cry_185.wav
2828.wav,2828_Cough_186.wav,Cough,8.965212,9.285091,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/2828_Cough_186.wav
3895.wav,3895_Yawn_188.wav,Yawn,1.5457835,2.4990687,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/3895_Yawn_188.wav
3895.wav,3895_Dog_189.wav,Dog,4.0274887,4.4540176,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/3895_Dog_189.wav
6711.wav,6711_Motorcyle_190.wav,Motorcyle,0.6187332,3.4827228,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/6711_Motorcyle_190.wav
6711.wav,6711_TrainHorn_191.wav,TrainHorn,8.2046385,10.0,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/6711_TrainHorn_191.wav
4894.wav,4894_Ambulance_192.wav,Ambulance,2.648736,10.0,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/4894_Ambulance_192.wav
5279.wav,5279_TrainHorn_195.wav,TrainHorn,3.106971,4.580942,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/5279_TrainHorn_195.wav
5279.wav,5279_Cry_196.wav,Cry,4.6247606,7.880836,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/5279_Cry_196.wav
7441.wav,7441_BoatHorn_198.wav,BoatHorn,4.7119465,8.137432,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/7441_BoatHorn_198.wav
7441.wav,7441_Motorcyle_199.wav,Motorcyle,5.4103465,9.417724,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/7441_Motorcyle_199.wav
7335.wav,7335_Yawn_200.wav,Yawn,0.9529817,4.1205363,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/7335_Yawn_200.wav
7335.wav,7335_Firefighters_201.wav,Firefighters,1.4084042,10.0,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/7335_Firefighters_201.wav
7335.wav,7335_Door_202.wav,Door,7.8644423,8.250062,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/7335_Door_202.wav
14484.wav,14484_CarHorn_204.wav,CarHorn,3.5672724,7.8205037,/home/andres/Documentos/proyecto4geeks/data/raw/driver_safety/train/14484_CarHorn_204.wav
