"audio","label","labels","human_label","human_labels","path"
"254507.wav","/m/0912c9","[""/m/0912c9"", ""/m/012f08"", ""/m/0k4j"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Car"", ""Motor_vehicle_(road)"", ""Vehicle"", ""car_horn""]","audios/train\254507.wav"
"352305.wav","/m/0912c9","[""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Car"", ""Motor_vehicle_(road)"", ""Vehicle"", ""car_horn""]","audios/train\352305.wav"
"68657.wav","/m/0912c9","[""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Car"", ""Motor_vehicle_(road)"", ""Vehicle"", ""car_horn""]","audios/train\68657.wav"
"26176.wav","/m/0912c9","[""/m/0btp2"", ""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Vehicle"", ""Car"", ""traffic_noise"", ""Motor_vehicle_(road)"", ""car_horn""]","audios/train\26176.wav"
"26177.wav","/m/0912c9","[""/m/0btp2"", ""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Vehicle"", ""Car"", ""traffic_noise"", ""Motor_vehicle_(road)"", ""car_horn""]","audios/train\26177.wav"
"125520.wav","/m/0912c9","[""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Car"", ""Motor_vehicle_(road)"", ""Vehicle"", ""car_horn""]","audios/train\125520.wav"
"322129.wav","/m/0912c9","[""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Car"", ""Motor_vehicle_(road)"", ""Vehicle"", ""car_horn""]","audios/train\322129.wav"
"322130.wav","/m/0912c9","[""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Car"", ""Motor_vehicle_(road)"", ""Vehicle"", ""car_horn""]","audios/train\322130.wav"
"19026.wav","/m/0912c9","[""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Car"", ""Motor_vehicle_(road)"", ""Vehicle"", ""car_horn""]","audios/train\19026.wav"
"371833.wav","/m/0912c9","[""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Car"", ""Motor_vehicle_(road)"", ""Vehicle"", ""car_horn""]","audios/train\371833.wav"
"371853.wav","/m/0912c9","[""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Car"", ""Motor_vehicle_(road)"", ""Vehicle"", ""car_horn""]","audios/train\371853.wav"
"179858.wav","/m/0912c9","[""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Car"", ""Motor_vehicle_(road)"", ""Vehicle"", ""car_horn""]","audios/train\179858.wav"
"179860.wav","/m/0912c9","[""/m/0btp2"", ""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Vehicle"", ""Car"", ""traffic_noise"", ""Motor_vehicle_(road)"", ""car_horn""]","audios/train\179860.wav"
"179861.wav","/m/0912c9","[""/m/0btp2"", ""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Vehicle"", ""Car"", ""traffic_noise"", ""Motor_vehicle_(road)"", ""car_horn""]","audios/train\179861.wav"
"179862.wav","/m/0912c9","[""/m/0btp2"", ""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Vehicle"", ""Car"", ""traffic_noise"", ""Motor_vehicle_(road)"", ""car_horn""]","audios/train\179862.wav"
"179863.wav","/m/0912c9","[""/m/0btp2"", ""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Vehicle"", ""Car"", ""traffic_noise"", ""Motor_vehicle_(road)"", ""car_horn""]","audios/train\179863.wav"
"179864.wav","/m/0912c9","[""/m/0btp2"", ""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Vehicle"", ""Car"", ""traffic_noise"", ""Motor_vehicle_(road)"", ""car_horn""]","audios/train\179864.wav"
"179865.wav","/m/0912c9","[""/m/0btp2"", ""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Vehicle"", ""Car"", ""traffic_noise"", ""Motor_vehicle_(road)"", ""car_horn""]","audios/train\179865.wav"
"379034.wav","/m/0912c9","[""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Car"", ""Motor_vehicle_(road)"", ""Vehicle"", ""car_horn""]","audios/train\379034.wav"
"179867.wav","/m/0912c9","[""/m/0btp2"", ""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Vehicle"", ""Car"", ""traffic_noise"", ""Motor_vehicle_(road)"", ""car_horn""]","audios/train\179867.wav"
"424604.wav","/m/0912c9","[""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Car"", ""Motor_vehicle_(road)"", ""Vehicle"", ""car_horn""]","audios/train\424604.wav"
"424603.wav","/m/0912c9","[""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Car"", ""Motor_vehicle_(road)"", ""Vehicle"", ""car_horn""]","audios/train\424603.wav"
"179868.wav","/m/0912c9","[""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Car"", ""Motor_vehicle_(road)"", ""Vehicle"", ""car_horn""]","audios/train\179868.wav"
"179866.wav","/m/0912c9","[""/m/0btp2"", ""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Vehicle"", ""Car"", ""traffic_noise"", ""Motor_vehicle_(road)"", ""car_horn""]","audios/train\179866.wav"
"377496.wav","/m/0912c9","[""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Car"", ""Motor_vehicle_(road)"", ""Vehicle"", ""car_horn""]","audios/train\377496.wav"
"32417.wav","/m/0912c9","[""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Car"", ""Motor_vehicle_(road)"", ""Vehicle"", ""car_horn""]","audios/train\32417.wav"
"113319.wav","/m/0912c9","[""/m/01bjv"", ""/m/0912c9"", ""/m/07yv9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Car"", ""Bus"", ""Motor_vehicle_(road)"", ""Vehicle"", ""car_horn""]","audios/train\113319.wav"
"145577.wav","/m/0912c9","[""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Car"", ""Motor_vehicle_(road)"", ""Vehicle"", ""car_horn""]","audios/train\145577.wav"
"47275.wav","/m/0912c9","[""/m/0912c9"", ""/m/09l8g"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Car"", ""Motor_vehicle_(road)"", ""Human_voice"", ""Vehicle"", ""car_horn""]","audios/train\47275.wav"
"21687.wav","/m/0912c9","[""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Car"", ""Motor_vehicle_(road)"", ""Vehicle"", ""car_horn""]","audios/train\21687.wav"
"77509.wav","/m/0912c9","[""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Car"", ""Motor_vehicle_(road)"", ""Vehicle"", ""car_horn""]","audios/train\77509.wav"
"182474.wav","/m/0912c9","[""/m/0btp2"", ""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Vehicle"", ""Car"", ""traffic_noise"", ""Motor_vehicle_(road)"", ""car_horn""]","audios/train\182474.wav"
"255699.wav","/m/0912c9","[""/m/0912c9"", ""/m/012f08"", ""/m/0k4j"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Car"", ""Motor_vehicle_(road)"", ""Vehicle"", ""car_horn""]","audios/train\255699.wav"
"255700.wav","/m/0912c9","[""/m/0912c9"", ""/m/012f08"", ""/m/0k4j"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Car"", ""Motor_vehicle_(road)"", ""Vehicle"", ""car_horn""]","audios/train\255700.wav"
"254678.wav","/m/0912c9","[""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Car"", ""Motor_vehicle_(road)"", ""Vehicle"", ""car_horn""]","audios/train\254678.wav"
"212182.wav","/m/0912c9","[""/m/0btp2"", ""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Vehicle"", ""Car"", ""traffic_noise"", ""Motor_vehicle_(road)"", ""car_horn""]","audios/train\212182.wav"
"212186.wav","/m/0912c9","[""/m/0btp2"", ""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Vehicle"", ""Car"", ""traffic_noise"", ""Motor_vehicle_(road)"", ""car_horn""]","audios/train\212186.wav"
"212187.wav","/m/0912c9","[""/m/0btp2"", ""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Vehicle"", ""Car"", ""traffic_noise"", ""Motor_vehicle_(road)"", ""car_horn""]","audios/train\212187.wav"
"431841.wav","/m/0912c9","[""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Car"", ""Motor_vehicle_(road)"", ""Vehicle"", ""car_horn""]","audios/train\431841.wav"
"175842.wav","/m/0912c9","[""/m/0btp2"", ""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Vehicle"", ""Car"", ""traffic_noise"", ""Motor_vehicle_(road)"", ""car_horn""]","audios/train\175842.wav"
"178402.wav","/m/0912c9","[""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Car"", ""Motor_vehicle_(road)"", ""Vehicle"", ""car_horn""]","audios/train\178402.wav"
"175844.wav","/m/0912c9","[""/m/0btp2"", ""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Vehicle"", ""Car"", ""traffic_noise"", ""Motor_vehicle_(road)"", ""car_horn""]","audios/train\175844.wav"
"175843.wav","/m/0912c9","[""/m/0btp2"", ""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Vehicle"", ""Car"", ""traffic_noise"", ""Motor_vehicle_(road)"", ""car_horn""]","audios/train\175843.wav"
"175846.wav","/m/0912c9","[""/m/0btp2"", ""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Vehicle"", ""Car"", ""traffic_noise"", ""Motor_vehicle_(road)"", ""car_horn""]","audios/train\175846.wav"
"175847.wav","/m/0912c9","[""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Car"", ""Motor_vehicle_(road)"", ""Vehicle"", ""car_horn""]","audios/train\175847.wav"
"175848.wav","/m/0912c9","[""/m/0btp2"", ""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Vehicle"", ""Car"", ""traffic_noise"", ""Motor_vehicle_(road)"", ""car_horn""]","audios/train\175848.wav"
"175849.wav","/m/0912c9","[""/m/0btp2"", ""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Vehicle"", ""Car"", ""traffic_noise"", ""Motor_vehicle_(road)"", ""car_horn""]","audios/train\175849.wav"
"175850.wav","/m/0912c9","[""/m/0btp2"", ""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Vehicle"", ""Car"", ""traffic_noise"", ""Motor_vehicle_(road)"", ""car_horn""]","audios/train\175850.wav"
"175851.wav","/m/0912c9","[""/m/0btp2"", ""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Vehicle"", ""Car"", ""traffic_noise"", ""Motor_vehicle_(road)"", ""car_horn""]","audios/train\175851.wav"
"175852.wav","/m/0912c9","[""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Car"", ""Motor_vehicle_(road)"", ""Vehicle"", ""car_horn""]","audios/train\175852.wav"
"162541.wav","/m/0912c9","[""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Car"", ""Motor_vehicle_(road)"", ""Vehicle"", ""car_horn""]","audios/train\162541.wav"
"162540.wav","/m/0912c9","[""/m/0912c9"", ""/m/07yv9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Car"", ""Motor_vehicle_(road)"", ""Vehicle"", ""car_horn""]","audios/train\162540.wav"
"175855.wav","/m/0912c9","[""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Car"", ""Motor_vehicle_(road)"", ""Vehicle"", ""car_horn""]","audios/train\175855.wav"
"175856.wav","/m/0912c9","[""/m/0btp2"", ""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Vehicle"", ""Car"", ""traffic_noise"", ""Motor_vehicle_(road)"", ""car_horn""]","audios/train\175856.wav"
"175853.wav","/m/0912c9","[""/m/0btp2"", ""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Vehicle"", ""Car"", ""traffic_noise"", ""Motor_vehicle_(road)"", ""car_horn""]","audios/train\175853.wav"
"171249.wav","/m/0912c9","[""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Car"", ""Motor_vehicle_(road)"", ""Vehicle"", ""car_horn""]","audios/train\171249.wav"
"175854.wav","/m/0912c9","[""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Car"", ""Motor_vehicle_(road)"", ""Vehicle"", ""car_horn""]","audios/train\175854.wav"
"174840.wav","/m/0912c9","[""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Car"", ""Motor_vehicle_(road)"", ""Vehicle"", ""car_horn""]","audios/train\174840.wav"
"174841.wav","/m/0912c9","[""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Car"", ""Motor_vehicle_(road)"", ""Vehicle"", ""car_horn""]","audios/train\174841.wav"
"170243.wav","/m/0912c9","[""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Car"", ""Motor_vehicle_(road)"", ""Vehicle"", ""car_horn""]","audios/train\170243.wav"
"164625.wav","/m/0912c9","[""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Car"", ""Motor_vehicle_(road)"", ""Vehicle"", ""car_horn""]","audios/train\164625.wav"
"164626.wav","/m/0912c9","[""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Car"", ""Motor_vehicle_(road)"", ""Vehicle"", ""car_horn""]","audios/train\164626.wav"
"164627.wav","/m/0912c9","[""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Car"", ""Motor_vehicle_(road)"", ""Vehicle"", ""car_horn""]","audios/train\164627.wav"
"331540.wav","/m/0912c9","[""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Car"", ""Motor_vehicle_(road)"", ""Vehicle"", ""car_horn""]","audios/train\331540.wav"
"331542.wav","/m/0912c9","[""/m/0912c9"", ""/m/07yv9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Car"", ""Motor_vehicle_(road)"", ""Vehicle"", ""car_horn""]","audios/train\331542.wav"
"264993.wav","/m/0912c9","[""/m/0btp2"", ""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Vehicle"", ""Car"", ""traffic_noise"", ""Motor_vehicle_(road)"", ""car_horn""]","audios/train\264993.wav"
"364839.wav","/m/0912c9","[""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Car"", ""Motor_vehicle_(road)"", ""Vehicle"", ""car_horn""]","audios/train\364839.wav"
"49974.wav","/m/0912c9","[""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Car"", ""Motor_vehicle_(road)"", ""Vehicle"", ""car_horn""]","audios/train\49974.wav"
"6984.wav","/m/0912c9","[""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Car"", ""Motor_vehicle_(road)"", ""Vehicle"", ""car_horn""]","audios/train\6984.wav"
"381774.wav","/m/0912c9","[""/m/0912c9"", ""/m/012f08"", ""/m/0k4j"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Car"", ""Motor_vehicle_(road)"", ""Vehicle"", ""car_horn""]","audios/train\381774.wav"
"381775.wav","/m/0912c9","[""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Car"", ""Motor_vehicle_(road)"", ""Vehicle"", ""car_horn""]","audios/train\381775.wav"
"419695.wav","/m/0912c9","[""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Car"", ""Motor_vehicle_(road)"", ""Vehicle"", ""car_horn""]","audios/train\419695.wav"
"419698.wav","/m/0912c9","[""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Car"", ""Motor_vehicle_(road)"", ""Vehicle"", ""car_horn""]","audios/train\419698.wav"
"425848.wav","/m/0912c9","[""/m/0912c9"", ""/m/07r04"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Car"", ""Motor_vehicle_(road)"", ""Vehicle"", ""car_horn"", ""Truck""]","audios/train\425848.wav"
"2937.wav","/m/0912c9","[""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Car"", ""Motor_vehicle_(road)"", ""Vehicle"", ""car_horn""]","audios/train\2937.wav"
"329612.wav","/m/0912c9","[""/m/0912c9"", ""/m/012f08"", ""/m/0k4j"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Car"", ""Motor_vehicle_(road)"", ""Vehicle"", ""car_horn""]","audios/train\329612.wav"
"162702.wav","/m/0912c9","[""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Car"", ""Motor_vehicle_(road)"", ""Vehicle"", ""car_horn""]","audios/train\162702.wav"
"162703.wav","/m/0912c9","[""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Car"", ""Motor_vehicle_(road)"", ""Vehicle"", ""car_horn""]","audios/train\162703.wav"
"399254.wav","/m/0912c9","[""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Car"", ""Motor_vehicle_(road)"", ""Vehicle"", ""car_horn""]","audios/train\399254.wav"
"433578.wav","/m/0912c9","[""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Car"", ""Motor_vehicle_(road)"", ""Vehicle"", ""car_horn""]","audios/train\433578.wav"
"117165.wav","/m/0912c9","[""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Car"", ""Motor_vehicle_(road)"", ""Vehicle"", ""car_horn""]","audios/train\117165.wav"
"239030.wav","/m/0912c9","[""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Car"", ""Motor_vehicle_(road)"", ""Vehicle"", ""car_horn""]","audios/train\239030.wav"
"239031.wav","/m/0912c9","[""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Car"", ""Motor_vehicle_(road)"", ""Vehicle"", ""car_horn""]","audios/train\239031.wav"
"254907.wav","/m/0912c9","[""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Car"", ""Motor_vehicle_(road)"", ""Vehicle"", ""car_horn""]","audios/train\254907.wav"
"178115.wav","/m/0912c9","[""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Car"", ""Motor_vehicle_(road)"", ""Vehicle"", ""car_horn""]","audios/train\178115.wav"
"221644.wav","/m/0912c9","[""/m/0912c9"", ""/m/0k4j"", ""/m/012f08"", ""/m/07yv9"", ""/m/07pp_mv""]","car_horn","[""alarm"", ""Car"", ""Motor_vehicle_(road)"", ""Vehicle"", ""car_horn""]","audios/train\221644.wav"
