canonical,synonym,emergency,environment
glass_metal,Slam,False,interior
glass_metal,Thump_and_thud,False,interior
glass_metal,Tap,False,interior
glass_metal,glass_breaking,False,interior
water,Water,False,interior
water,Liquid,False,interior
water,Pour,False,interior
water,Splash_and_splatter,False,interior
water,Stream,False,interior
water,Trickle_and_dribble,False,interior
water,Drip,False,interior
water,Boiling,False,interior
water,Bathtub_(filling_or_washing),False,interior
water,Sink_(filling_or_washing),False,interior
water,Water_tap_and_faucet,False,interior
water,Gurgling,False,interior
water,Fill_(with_liquid),False,interior
weather,Rain,False,exterior
weather,Raindrop,False,exterior
weather,Thunder,False,exterior
weather,Thunderstorm,False,exterior
weather,Wind,False,exterior
weather,wind,False,exterior
weather,Waves_and_surf,False,exterior
weather,Ocean,False,exterior
weather,Whoosh_and_swoosh_and_swish,False,exterior
fire,Fire,True,indefinida
fire,Fireworks,False,exterior
fire,fireworks,False,exterior
explosion,Explosion,True,indefinida
food,Chewing_and_mastication,False,interior
food,Frying_(food),False,interior
food,Microwave_oven,False,interior
food,Dishes_and_pots_and_pans,False,interior
food,Cutlery_and_silverware,False,interior
food,Burping_and_eructation,False,interior
food,Fart,False,interior
paper,Crumpling_and_crinkling,False,interior
paper,Tearing,False,interior
paper,Writing,False,interior
paper,Packing_tape_and_duct_tape,False,interior
paper,Wood,False,interior
machine,Mechanisms,False,interior
machine,Ratchet_and_pawl,False,interior
machine,Computer_keyboard,False,interior
machine,Typing,False,interior
machine,Printer,False,interior
machine,Zipper_(clothing),False,interior
movement,Run,False,indefinida
movement,Walk_and_footsteps,False,indefinida
movement,Sliding_door,False,indefinida
ambient_noise,ambient_noise,False,indefinida
ambient_noise,Air_conditioner,False,indefinida
ambient_noise,AC,False,indefinida
ambient_noise,Aircon,False,indefinida
ambient_noise,Air_conditioning,False,indefinida
human_activity,human_activity,False,indefinida
human_activity,Children_playing,False,indefinida
human_activity,Kids_playing,False,indefinida
human_activity,Playground_activity,False,indefinida
construction_noise,Jackhammer,False,indefinida
construction_noise,Pneumatic_jackhammer,False,indefinida
construction_noise,Pneumatic_drill,False,indefinida
music,Street_music,False,indefinida
music,music,False,indefinida
music,Busking,False,indefinida
music,Live_music,False,indefinida
music,Street_performance,False,indefinida
gun_shot,Gun_shot,True,indefinida
gun_shot,Gunshot,True,indefinida
gun_shot,gunshot,True,indefinida
gun_shot,Firearm_discharge,True,indefinida
water,Toilet_flush,False,interior
