canonical,synonym
notifications,Ringtone
notifications,Telephone
notifications,Wind_chime
notifications,notifications
siren_alarm,Alarm
siren_alarm,Ambulance
siren_alarm,Firefighters
siren_alarm,Police
siren_alarm,Siren
siren_alarm,WarningBeeps
siren_alarm,alert_sirem
siren_alarm,siren
siren_alarm,siren_alarm
traffic,Aircraft
traffic,Airplane
traffic,Bicycle
traffic,BoatHorn
traffic,Boat_and_Water_vehicle
traffic,Bus
traffic,Car
traffic,CarHorn
traffic,Car_passing_by
traffic,Fixed-wing_aircraft_and_airplane
traffic,Helicopter
traffic,Motor_vehicle_(road)
traffic,Motorcycle
traffic,Motorcyle
traffic,Race_car_and_auto_racing
traffic,Rail_transport
traffic,Subway_and_metro_and_underground
traffic,Traffic_noise_and_roadway_noise
traffic,Train
traffic,TrainHorn
traffic,Truck
traffic,TruckHorn
traffic,Vehicle
traffic,Vehicle_horn_and_car_horn_and_honking
traffic,car_horn
traffic,road_traffic
traffic,traffic
voice,Speech
voice,Conversation
voice,Speech_synthesizer
voice,Male_speech_and_man_speaking
voice,Whispering
voice,Human_voice
voice,Chatter
voice,Cheering
voice,Child_speech_and_kid_speaking
voice,Chuckle_and_chortle
voice,Clapping
voice,Female_speech_and_woman_speaking
voice,Giggle
voice,Laughter
voice,RAVDESS_surprised
voice,Surprised_speech
voice,laughing
voice,voice
water,Bathtub_(filling_or_washing)
water,Boiling
water,Drip
water,Fill_(with_liquid)
water,Gurgling
water,Liquid
water,Pour
water,Sink_(filling_or_washing)
water,Splash_and_splatter
water,Stream
water,Toilet_flush
water,Trickle_and_dribble
water,Water
water,Water_tap_and_faucet
water,water
weather,Hail
weather,Ocean
weather,Rain
weather,Raindrop
weather,Thunder
weather,Thunderstorm
weather,Waves_and_surf
weather,Whoosh_and_swoosh_and_swish
weather,Wind
weather,wind
weather,weather
